Config;Score
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Merck SeQuant ZIC-HILIC, usp_code=column.usp.code_L114, length=145.45454545454547, id=2.1000000000000005, particle_size=4.863636363636363, temperature=25.0, flowrate=0.25, t0=1.3300246658237755))';1,00031E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Thermo Scientific Hypersil GOLD, usp_code=column.usp.code_L1, length=113.75, id=2.1, particle_size=1.9, temperature=40.0, flowrate=0.4, t0=0.6500755324656243))';1,00039E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Agilent ZORBAX Eclipse XDB-C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.8, temperature=50.0, flowrate=0.4, t0=0.55125))';1E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC HSS T3, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.8, temperature=30.0, flowrate=0.4, t0=0.55125))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Synergi Hydro-RP, usp_code=column.usp.code_L1, length=250.0, id=2.0, particle_size=4.0, temperature=25.0, flowrate=0.2, t0=2.5))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent InfinityLab Poroshell 120 EC-C18, usp_code=column.usp.code_L1, length=100.0, id=3.0, particle_size=2.7, temperature=25.0, flowrate=0.4, t0=1.125))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PFP, usp_code=column.usp.code_L43, length=100.0, id=4.6, particle_size=5.0, temperature=45.0, flowrate=0.6, t0=1.7633333333333332))';1,00023E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.7, temperature=40.54166666666666, flowrate=0.2518, t0=0.9078553988818956))';0
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC HSS T3, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.8, temperature=38.75, flowrate=0.3877777777777778, t0=0.5895077091536252))';1,00003E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX RRHD Eclipse Plus C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=30.0, flowrate=0.4, t0=0.275625))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX RRHD Eclipse Plus C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=30.0, flowrate=0.4, t0=0.275625))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=0, usp_code=column.usp.code_0, length=150.0, id=2.1, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=0.945))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=0, usp_code=column.usp.code_0, length=150.0, id=2.1, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=0.945))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.7, temperature=65.0, flowrate=0.4, t0=0.55125))';1,0001E+15
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025))';1E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH Amide, usp_code=column.usp.code_L68, length=100.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.5, t0=0.4571959788769226))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH Amide, usp_code=column.usp.code_L68, length=100.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.5, t0=0.4571959788769226))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666))';1,00004E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666))';1,00001E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))';1,00011E+16
'Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025))';0
'Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025))';0
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))';10
